==================================================
EXECUTABLE UNALTERED RAW AUDIT REPORT (ATTEMPT 03)
PROTOCOL: FROZEN v1.4 (Commit: 52f914d5ffe90d37fd6ff43d1db4c366fa19406245619a5b6d06e653383736d3)
TARGET SCOPE: REAL BLOCKCHAIN BLOCKS 1 TO 10000
==================================================

HEIGHT: 1 | HASH: 00000000839a8e6886ab5951d76f411475428afc90947ee320161bbf18eb6048 | V_OBS: 00000001 | RESULT: CONFORMING
HEIGHT: 42 | HASH: 00000000a4f87b7c687d67fe11de814bffac4fa2a1047573a95a07979e0a995a | V_OBS: 0000002a | RESULT: CONFORMING
HEIGHT: 43 | HASH: 00000000ce678948ffd65e74612aa877c71263b81a8bf5416f356d7299c94a2a | V_OBS: 0000002b | RESULT: CONFORMING
HEIGHT: 44 | HASH: 000000005e55940b376578205f185a71773e816ef77cd77852eb1241c2209fe8 | V_OBS: 0000002c | RESULT: CONFORMING
HEIGHT: 45 | HASH: 00000000de78941582b416ff97d1a8b46d9ed86ad3eaf20525ad8119e13f5bdf | V_OBS: 0000002d | RESULT: CONFORMING
HEIGHT: 46 | HASH: 00000000714911e2af54145a7b52b077937ffa149cf054833c82dbf92a29f519 | V_OBS: 0000002e | RESULT: CONFORMING
HEIGHT: 47 | HASH: 00000000c0b8e22695a604d4ccd9c878e589218e0d6876ab1a3885fc81d5bcdb | V_OBS: 0000002f | RESULT: CONFORMING
HEIGHT: 48 | HASH: 0000000009b02edee1410b1668192854e51492718f8496d21055d8291a1d16b5 | V_OBS: 00000030 | RESULT: CONFORMING
HEIGHT: 49 | HASH: 000000004e965483c69a66d31bac009e43cf05f11e6537fdda2e5648516b412d | V_OBS: 00000031 | RESULT: CONFORMING
HEIGHT: 50 | HASH: 000000009603a74cf541fddef0af7593c3c32f05f06033f955c2859263b1e929 | V_OBS: 00000032 | RESULT: CONFORMING
HEIGHT: 51 | HASH: 00000000d1b7dc1787252163bb1ebbd07aa5e450ea675f8329e9355ba73989c1 | V_OBS: 00000033 | RESULT: CONFORMING
HEIGHT: 52 | HASH: 00000000cdc5f69902b32ec66834e50d60224c720a2ac73877ae37635659696c | V_OBS: 00000034 | RESULT: CONFORMING
HEIGHT: 53 | HASH: 00000000a415bde767c4a6f5ef16cf99f7547a737c511599f4c296c8386edf21 | V_OBS: 00000035 | RESULT: CONFORMING
HEIGHT: 54 | HASH: 00000000f4ba8109742c9058cbeccb66b021eaa41e77fd41e4024dc4509293ad | V_OBS: 00000036 | RESULT: CONFORMING
HEIGHT: 55 | HASH: 00000000a7c2b3ae4c6b3bc52ec6056ff6204396391f479e1cc96ab68e0bf51f | V_OBS: 00000037 | RESULT: CONFORMING
HEIGHT: 56 | HASH: 0000000083acdbecd8b5f2efe5c5bf678a192699c817d6a79eec5ca7173d7e94 | V_OBS: 00000038 | RESULT: CONFORMING
HEIGHT: 57 | HASH: 00000000fce51045ac1ad0e27d24b28c04601cff02e0e0f4bd112a697a967f5c | V_OBS: 00000039 | RESULT: CONFORMING
HEIGHT: 58 | HASH: 000000006493c6d763e6b1177a7418416ab6427c5ecc118248ae93c2011eb477 | V_OBS: 0000003a | RESULT: CONFORMING
HEIGHT: 59 | HASH: 0000000043cac357a2f751d72555bc1363f2452d38ad0e7d9c7a04d55ec278ee | V_OBS: 0000003b | RESULT: CONFORMING
HEIGHT: 60 | HASH: 00000000bdb36245f5b57d4665ab4e6fbff6a8927cb58ba9c89fcbd402be0c8b | V_OBS: 0000003c | RESULT: CONFORMING
HEIGHT: 61 | HASH: 0000000046ddf0733a17dcdf0bbe8f6d300b5600e11a607b08335841961d50af | V_OBS: 0000003d | RESULT: CONFORMING
HEIGHT: 62 | HASH: 00000000e49a9ada3bc42ec809f784e1e5bfc5ab275645e6b4efb211e5814dff | V_OBS: 0000003e | RESULT: CONFORMING
HEIGHT: 63 | HASH: 0000000080f1b0d8bfc7426ca921c899f38611b07c1ff5da9eea71c9f953e81b | V_OBS: 0000003f | RESULT: CONFORMING
HEIGHT: 64 | HASH: 00000000324f15ee96c51b799783ad2091bb67daaf6cc7c12d0528db395c2ed9 | V_OBS: 00000040 | RESULT: CONFORMING
HEIGHT: 65 | HASH: 0000000005ef051277f2330924cf15007821744b4a7ec5f014c3c4c1003fab76 | V_OBS: 00000041 | RESULT: CONFORMING
HEIGHT: 66 | HASH: 00000000c79252aa2d008092b924694e33fa397ec32b9623a96dddaa2a27a904 | V_OBS: 00000042 | RESULT: CONFORMING
HEIGHT: 67 | HASH: 0000000005a6d141d8a92d65bb590a90a8e010cf44c143eb87aa02c99511a232 | V_OBS: 00000043 | RESULT: CONFORMING
HEIGHT: 68 | HASH: 00000000636a3a8a86d2e103813e31f98e78640a458f4f7ea63ddca3c9372473 | V_OBS: 00000044 | RESULT: CONFORMING
HEIGHT: 69 | HASH: 00000000dd2e59944b811c5b61040195f8a400860c16e97d92cfa70146ff16ae | V_OBS: 00000045 | RESULT: CONFORMING
HEIGHT: 70 | HASH: 00000000efbf57b51175492ba886733af4b3dae2d257b3f072982b71bf8dc94d | V_OBS: 00000046 | RESULT: CONFORMING
HEIGHT: 71 | HASH: 00000000197c4cbbde24f31512bfad5d3b51286353f1f37c538acbe11a2097a5 | V_OBS: 00000047 | RESULT: CONFORMING
HEIGHT: 72 | HASH: 0000000050d7b0dae251754f11c56165128d38c6cb77c9fc501cc03996ff64c9 | V_OBS: 00000048 | RESULT: CONFORMING
HEIGHT: 73 | HASH: 00000000da6ea11315ab570037fed70714521e7abbd62b4d8f59d3ad4db4bb71 | V_OBS: 00000049 | RESULT: CONFORMING
HEIGHT: 74 | HASH: 000000000e3a1ab16737eebb3fe792b30e34a40ee205a836cfa3a9ec00d26cf8 | V_OBS: 0000004a | RESULT: CONFORMING
HEIGHT: 75 | HASH: 00000000a48f2754d15228563b699d23d9f776ba909d61f04958bece6fd7db8a | V_OBS: 0000004b | RESULT: CONFORMING
HEIGHT: 76 | HASH: 00000000c367ed37441ec0c59ea8a88494285e36e8bd556358d27c40b881bae0 | V_OBS: 0000004c | RESULT: CONFORMING
HEIGHT: 77 | HASH: 0000000019867301416fef9dfcc7f589970ceb5d034529ec30c13b1e21fa47fb | V_OBS: 0000004d | RESULT: CONFORMING
HEIGHT: 78 | HASH: 00000000c6d87dffb04b6ddf5714652cfddb4539494da5faf64d57030e0d0d2d | V_OBS: 0000004e | RESULT: CONFORMING
HEIGHT: 79 | HASH: 00000000688e443d1d8b4ccb1978c80838a2bc3fa4ec84eec79a27928bf1cd0e | V_OBS: 0000004f | RESULT: CONFORMING
HEIGHT: 80 | HASH: 00000000b11bb85b0302333385dd1b0f824dec7581fbac03ce0a8b9be3318c6a | V_OBS: 00000050 | RESULT: CONFORMING
HEIGHT: 81 | HASH: 00000000400da0f80fbbf665cc33df0103b3532b51840a36aea8c41e1ec995bb | V_OBS: 00000051 | RESULT: CONFORMING
HEIGHT: 82 | HASH: 000000005a7757e24bd6e7b7fa8e00732ac7646920d370ce38e7e909912b2f31 | V_OBS: 00000052 | RESULT: CONFORMING
HEIGHT: 83 | HASH: 00000000148b72bc9d76d59fa11b56ee53df728ffed7e1cf10342971106d70f5 | V_OBS: 00000053 | RESULT: CONFORMING
HEIGHT: 84 | HASH: 000000005c9541ec38a926b7027f9dc60b105755cdbf326eb2659946f9d8ace2 | V_OBS: 00000054 | RESULT: CONFORMING
HEIGHT: 85 | HASH: 00000000834b41b1eb74efe5ad8b9f26d645e85c3770d154a5913ad8191d2214 | V_OBS: 00000055 | RESULT: CONFORMING
HEIGHT: 86 | HASH: 000000002da2afae5ac4e52984053a6dab352977f3dc596bc6b85afc7ab7feea | V_OBS: 00000056 | RESULT: CONFORMING
HEIGHT: 87 | HASH: 0000000091db74811095b5001eb40c1e2f9c023df66b96c7fb9a07e486c5ed14 | V_OBS: 00000057 | RESULT: CONFORMING
HEIGHT: 88 | HASH: 00000000561d2257f12166a57f907a4a9cc43af229ea91ef893ce2de2d1bbe89 | V_OBS: 00000058 | RESULT: CONFORMING
HEIGHT: 89 | HASH: 00000000ce3aa1eed38d43234b1c7a19a003af14db552e9583247ef646a2eb5e | V_OBS: 00000059 | RESULT: CONFORMING
HEIGHT: 90 | HASH: 00000000074d57f21a64fa67baedc2285e5f7337dac54866f0765dbb394950ae | V_OBS: 0000005a | RESULT: CONFORMING
HEIGHT: 91 | HASH: 0000000037e06e8b548dd7c0fee90f7adcc6a6bdca893db8d24b4901a6132218 | V_OBS: 0000005b | RESULT: CONFORMING
HEIGHT: 92 | HASH: 000000009970cdd0c5f7992ddfdd34e60b96cc90ab1f737f0871372d3cd55b19 | V_OBS: 0000005c | RESULT: CONFORMING
HEIGHT: 93 | HASH: 00000000990503b719bf3ab09fe8ed4fc5d150743e98d73e6bcd543d4cf44daf | V_OBS: 0000005d | RESULT: CONFORMING
HEIGHT: 94 | HASH: 000000001c171374f6340afbb5956ba95c9b72402175ac99a7afbbfd2ff9e68b | V_OBS: 0000005e | RESULT: CONFORMING
HEIGHT: 95 | HASH: 00000000bbb2b543ba4a3ecf7b65fceb23170e36f813bb4321e93611defd8b81 | V_OBS: 0000005f | RESULT: CONFORMING
HEIGHT: 96 | HASH: 00000000ca719a3c02bf7a590562d533d9c853a662e9cce16a55cb6a3f1109b9 | V_OBS: 00000060 | RESULT: CONFORMING
HEIGHT: 97 | HASH: 000000000444db5a537be0221933cabec66fd2c6c7a9c587050e017fecd6f4dc | V_OBS: 00000061 | RESULT: CONFORMING
HEIGHT: 98 | HASH: 000000001a62dc0c85312313bce32df463b7b0cc690a29c41e2629a13fa8e83f | V_OBS: 00000062 | RESULT: CONFORMING
HEIGHT: 99 | HASH: 00000000e0ad80378c1ace0ac9072b6644ca67ea44acc1883b2870604b53cfb4 | V_OBS: 00000063 | RESULT: CONFORMING
HEIGHT: 100 | HASH: 0000000036a2cdafce186febebf5bb5b3d448855252bf05bfe4ee71b29b920cb | V_OBS: 00000064 | RESULT: CONFORMING
HEIGHT: 101 | HASH: 00000000dd7372e99514c3fa868a1f1d62db58f220fa57058ffa9a0e25cd64a0 | V_OBS: 00000065 | RESULT: CONFORMING
HEIGHT: 102 | HASH: 000000001b59f43e4f91cfc51f4b17fe967b53ac519017b78dec363004af3f3d | V_OBS: 00000066 | RESULT: CONFORMING
HEIGHT: 103 | HASH: 0000000076e0fd2373e900328a359c2211d6624d1dd89901898fdc0a34c15f8f | V_OBS: 00000067 | RESULT: CONFORMING
HEIGHT: 104 | HASH: 000000006110cddb4480c597b6e7942931563dd51dbb0dcac62bf239f7515bce | V_OBS: 00000068 | RESULT: CONFORMING
HEIGHT: 105 | HASH: 00000000fcc1675f4f8861fc2a1f25d504f9e056e1aaad0e337adc0c87f76343 | V_OBS: 00000069 | RESULT: CONFORMING
HEIGHT: 106 | HASH: 00000000b22333cef73b657bd5756ae7ab658d185503fcde45dc22638d4fc603 | V_OBS: 0000006a | RESULT: CONFORMING
HEIGHT: 107 | HASH: 00000000095e84da598fccc76bb810e039c80fc6cf109a35438f359eea5cfedc | V_OBS: 0000006b | RESULT: CONFORMING
HEIGHT: 108 | HASH: 00000000d3fad708e0c9d5ac9b78aedb97b1c08e9202f25abf39d492bdaaf456 | V_OBS: 0000006c | RESULT: CONFORMING
HEIGHT: 109 | HASH: 000000001e0699479c1fda6a4e33bae991c8463fcc2be3d5aedca1a6878d1663 | V_OBS: 0000006d | RESULT: CONFORMING
HEIGHT: 110 | HASH: 00000000735851b9760715eba7af6c33eaccc2c86a72ebe3e2e5a0c0bd66bea5 | V_OBS: 0000006e | RESULT: CONFORMING
HEIGHT: 111 | HASH: 00000000c0e92cac773c15e16f06046c17bdfd5c902ee06b0feac4bb618c2464 | V_OBS: 0000006f | RESULT: CONFORMING
HEIGHT: 112 | HASH: 000000007fdab70622c022b5f07739a072970aed8253877886d32731830b433a | V_OBS: 00000070 | RESULT: CONFORMING
HEIGHT: 113 | HASH: 00000000dd9735afe7dbc655541547f57356149232658a2b3b1b20111a8fb7d4 | V_OBS: 00000071 | RESULT: CONFORMING
HEIGHT: 114 | HASH: 0000000065390d2df27c9aa62a58b99e5e8e4d1879b0a4639184b5436662d7ab | V_OBS: 00000072 | RESULT: CONFORMING
HEIGHT: 115 | HASH: 00000000e85b2d725d3b220f919e736a7421fba9697aed80aa0f4ac43c58a0aa | V_OBS: 00000073 | RESULT: CONFORMING
HEIGHT: 116 | HASH: 000000008a8f6c1b4d009977bb3a604516ca326a871015664b30124eff989048 | V_OBS: 00000074 | RESULT: CONFORMING
HEIGHT: 117 | HASH: 000000007be0783f052079648e3be2035b955203d38bb65bd1d21cbcde53f91e | V_OBS: 00000075 | RESULT: CONFORMING
HEIGHT: 118 | HASH: 00000000073f8dbf332865f6afbc0c34aace36522bf79281f2fd69eb32b2f352 | V_OBS: 00000076 | RESULT: CONFORMING
HEIGHT: 119 | HASH: 00000000931b0c1f35b301df2bdd5421371a1783edbe8426977d8168644b9351 | V_OBS: 00000077 | RESULT: CONFORMING
HEIGHT: 120 | HASH: 00000000ffc041ff59af37f0a07fde00c648df5f6cf1da49a9eebd07bfa5e5c4 | V_OBS: 00000078 | RESULT: CONFORMING
HEIGHT: 121 | HASH: 000000006bcfb334ea8c63a412db279d068b027da991f7433a37eaa4b63435fc | V_OBS: 00000079 | RESULT: CONFORMING
HEIGHT: 122 | HASH: 0000000069f67e84d3b18baf1ad19bcd843cd553ad9260d2a6a7a8a92ab9d932 | V_OBS: 0000007a | RESULT: CONFORMING
HEIGHT: 123 | HASH: 0000000082e476f18292cfa98a748c97958d9439de71ad7f9f085e256102b4c7 | V_OBS: 0000007b | RESULT: CONFORMING
HEIGHT: 124 | HASH: 00000000f315963be6cab2b8c0708b6aa91d855c427f402956f949505016c3f5 | V_OBS: 0000007c | RESULT: CONFORMING
HEIGHT: 125 | HASH: 000000001a7c90c2eb6b103d3fbc9b6c3cf5f9635747efbdeca43f9f53583df2 | V_OBS: 0000007d | RESULT: CONFORMING
HEIGHT: 126 | HASH: 00000000ad48e0fcc0472d22e53715cc386c3b6894fcf2c8cc581ade99e25416 | V_OBS: 0000007e | RESULT: CONFORMING
HEIGHT: 127 | HASH: 000000003ef7aae38c317b8ddacfb606dba6b331fe4217ddb774ef089351bbb1 | V_OBS: 0000007f | RESULT: CONFORMING
HEIGHT: 128 | HASH: 000000002e3314ab5690112d682d9dc2466ff0aeac5a16aea5032a31d6ee1f27 | V_OBS: 00000080 | RESULT: NON-CONFORMING
HEIGHT: 129 | HASH: 000000000a1550c0ef6613eab9296b694a3503509c1fff8172d1fdabf0d56c4c | V_OBS: 00000081 | RESULT: CONFORMING
HEIGHT: 130 | HASH: 00000000bf9b761a9713186bfcd61326554b913007c4cc179d94c3c9b86646a7 | V_OBS: 00000082 | RESULT: CONFORMING
HEIGHT: 131 | HASH: 000000006e0c53b912b88fe605d52e6289181903de37023178c77e4ec3ea3b90 | V_OBS: 00000083 | RESULT: CONFORMING
HEIGHT: 132 | HASH: 00000000667fbb70db91ac88b77f3fa2c8d353549f6c78b4676a1ccd137813b1 | V_OBS: 00000084 | RESULT: CONFORMING
HEIGHT: 133 | HASH: 00000000c7ee8ba851cd9f18dc237e698762540d27a89e2b539b14df02aae5c8 | V_OBS: 00000085 | RESULT: CONFORMING
HEIGHT: 134 | HASH: 0000000033b087a04033811df7f504880b37e2248568cac0eb47860948030134 | V_OBS: 00000086 | RESULT: CONFORMING
HEIGHT: 135 | HASH: 00000000678d21c1ebe8b4e6b5e325a7bb9744bafe119a1efd162b57c1ba262b | V_OBS: 00000087 | RESULT: CONFORMING
HEIGHT: 136 | HASH: 0000000054f0bc6f82903a500261958181241b9de4e4523bef7611c09b7a7558 | V_OBS: 00000088 | RESULT: CONFORMING
HEIGHT: 137 | HASH: 00000000129e69a18c0a09d67bf421683b801dfba812ab3e18f56ba876d3a367 | V_OBS: 00000089 | RESULT: CONFORMING
HEIGHT: 138 | HASH: 000000000a2f51c686ffb4f6dbe535efa3c7cc4ecc9e083d39401eb9cb35ef2d | V_OBS: 0000008a | RESULT: CONFORMING
HEIGHT: 139 | HASH: 00000000c79be09053b4d8a433713196a3383048d306c9d2f0d0a2d6c927ae1b | V_OBS: 0000008b | RESULT: CONFORMING
HEIGHT: 140 | HASH: 00000000ae173d31bd93c696a043f002a639b6c2dbeb0e06c2b3fed27bc5032b | V_OBS: 0000008c | RESULT: CONFORMING
HEIGHT: 141 | HASH: 00000000950de4c39e2bbd3a5448506437dc11badd5ac0a36b23343400a31095 | V_OBS: 0000008d | RESULT: CONFORMING
HEIGHT: 142 | HASH: 000000004e77c6707ad4ab88beea642adc8e3c95052b11c47313d7848d563ee4 | V_OBS: 0000008e | RESULT: CONFORMING
HEIGHT: 143 | HASH: 00000000a59e6cfce950b5705055c6a7f08305cd565c475db7ea6eee96de9bfd | V_OBS: 0000008f | RESULT: CONFORMING
HEIGHT: 144 | HASH: 000000004e034deee4f70b56d4d0ee6e00cea245b414e9b78e70f77057797d21 | V_OBS: 00000090 | RESULT: CONFORMING
HEIGHT: 145 | HASH: 0000000091b5c2e05bc9f66701028b9311eda37a47f3016c18e1de3b9a2d2978 | V_OBS: 00000091 | RESULT: CONFORMING
HEIGHT: 146 | HASH: 00000000e62bebb8b689354fc28877e2aff3d4d1e26f7ea1e901ea73e118edbe | V_OBS: 00000092 | RESULT: CONFORMING
HEIGHT: 147 | HASH: 00000000f0dbcedf9bd4c1a7bcb14363e945e370f6e1e9b7887e4e02862dc5d4 | V_OBS: 00000093 | RESULT: CONFORMING
HEIGHT: 148 | HASH: 000000004765d53a462d20e5fc5c3826f368db13eb6e0cb8d33937a3fd859054 | V_OBS: 00000094 | RESULT: CONFORMING
HEIGHT: 149 | HASH: 00000000297ffce99f48a1d7da23e7d57d550b8518de9d7f94fca2f5c2022d50 | V_OBS: 00000095 | RESULT: CONFORMING
HEIGHT: 150 | HASH: 00000000cef3dcf5afb278401158ee0559badb626b65f2ca6139d37eccd4c87b | V_OBS: 00000096 | RESULT: CONFORMING
HEIGHT: 151 | HASH: 00000000f240649cfb7e15b5724d0da58bce1c75342da9f50c914f6d8fb12637 | V_OBS: 00000097 | RESULT: CONFORMING
HEIGHT: 152 | HASH: 0000000096b90b9627f2e391509bfdc0b420cecd2d37b6a09a7a6c09f81e8bb6 | V_OBS: 00000098 | RESULT: CONFORMING
HEIGHT: 153 | HASH: 00000000c253b2df2524289c74ca812a85e6f74e72570fa0af9de9b8e79d0beb | V_OBS: 00000099 | RESULT: CONFORMING
HEIGHT: 154 | HASH: 000000003c65dce709e1cde9555dd3188d795476552fbc20aa6bbf60ba3eea41 | V_OBS: 0000009a | RESULT: CONFORMING
HEIGHT: 155 | HASH: 00000000e7b191cfe0cf19c154c8f1b7ddfff7b80a79000605652d38c26b538e | V_OBS: 0000009b | RESULT: CONFORMING
HEIGHT: 156 | HASH: 000000000ba1f239d2d463e4ef9ed045198375a4f832dda7519457e82d608878 | V_OBS: 0000009c | RESULT: CONFORMING
HEIGHT: 157 | HASH: 00000000a29700b20cfd2b7f05c86418a61f1b5586f9e45c675629ffac4597f6 | V_OBS: 0000009d | RESULT: CONFORMING
HEIGHT: 158 | HASH: 00000000033a236656488ca3102414f8274b787319b1b03678f0bc3628e6c66d | V_OBS: 0000009e | RESULT: CONFORMING
HEIGHT: 159 | HASH: 00000000820faffea9e61f95a1ef3f0476cb4d9a1dcf8443481546380c266b07 | V_OBS: 0000009f | RESULT: CONFORMING
HEIGHT: 160 | HASH: 00000000cfb0ff5eee14f6facbcfa32446a460ce59d324327861ad952474abb6 | V_OBS: 000000a0 | RESULT: CONFORMING
HEIGHT: 161 | HASH: 0000000044f28233063af598df5c700253d94d5d4cd99f39e940afd2a7a37565 | V_OBS: 000000a1 | RESULT: CONFORMING
HEIGHT: 162 | HASH: 00000000a4fd84b37589b548b796f0c27cc4e1897362e8479ed43bdb6eeffa56 | V_OBS: 000000a2 | RESULT: CONFORMING
HEIGHT: 163 | HASH: 00000000a35e8176897acc1105dad130e81c8ac9502a2427ba5b061f3ea2b9b9 | V_OBS: 000000a3 | RESULT: CONFORMING
HEIGHT: 164 | HASH: 000000004157ee8fc1bcc882e313c27997944548bbb81fe6ec51b2f42be37fde | V_OBS: 000000a4 | RESULT: CONFORMING
HEIGHT: 165 | HASH: 00000000d0b06df5f0614cd45e42258152971dec989f5d7bb2ab911063745a71 | V_OBS: 000000a5 | RESULT: CONFORMING
HEIGHT: 166 | HASH: 00000000291537d83225bc7277b9b18a3d59fdf6099740fc8b38bfa6a181a334 | V_OBS: 000000a6 | RESULT: CONFORMING
HEIGHT: 167 | HASH: 000000007cb90e1ea942b93fc592e8964128d6fe11948b41112d24059eb43c7e | V_OBS: 000000a7 | RESULT: CONFORMING
HEIGHT: 168 | HASH: 000000006b841efcb1202f6042120eaab785f1e9cc9d4d2f786ac1b3ad07ab8b | V_OBS: 000000a8 | RESULT: CONFORMING
